id;name;geoid;geoname;value;datetime
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29394.80000000001;2023-01-04T19:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29070.10000000001;2023-01-04T20:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;27963.4;2023-01-04T21:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26388.867;2023-01-04T22:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;24703.133;2023-01-04T23:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;20081.9;2023-01-05T00:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;19029;2023-01-05T01:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;17592.70000000001;2023-01-05T02:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;17084.9;2023-01-05T03:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;16677.4;2023-01-05T04:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;17313.70000000001;2023-01-05T05:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;20764.6;2023-01-05T06:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26115.8;2023-01-05T07:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28136.5;2023-01-05T08:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29666;2023-01-05T09:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;31649.6;2023-01-05T10:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;31120.9;2023-01-05T11:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30390.40000000001;2023-01-05T12:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30524.60000000001;2023-01-05T13:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30301.87500000001;2023-01-05T14:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30090.30000000001;2023-01-05T15:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29926.55000000001;2023-01-05T16:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28435.95;2023-01-05T17:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28844.9;2023-01-05T18:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29419.20000000001;2023-01-05T19:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29217;2023-01-05T20:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29019.45;2023-01-05T21:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;27629.167;2023-01-05T22:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26560.85;2023-01-05T23:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;20789;2023-01-06T00:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;19928.1;2023-01-06T01:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;19125.60000000001;2023-01-06T02:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;18156.533;2023-01-06T03:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;17130.8;2023-01-06T04:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;18283.2;2023-01-06T05:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;20771.2;2023-01-06T06:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;22632.901;2023-01-06T07:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;23330.10000000001;2023-01-06T08:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;25462.95;2023-01-06T09:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26473.4;2023-01-06T10:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26342.1;2023-01-06T11:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26479.65;2023-01-06T12:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26545.09999999999;2023-01-06T13:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26529.15;2023-01-06T14:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26411.3;2023-01-06T15:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;25797.30000000001;2023-01-06T16:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26520.2;2023-01-06T17:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;27284.2;2023-01-06T18:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28505.9;2023-01-06T19:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29385.3;2023-01-06T20:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28822;2023-01-06T21:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;27330.8;2023-01-06T22:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;25461.45000000001;2023-01-06T23:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;23421.233;2023-01-07T00:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;21423.233;2023-01-07T01:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;20518.517;2023-01-07T02:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;19541.275;2023-01-07T03:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;19539.6;2023-01-07T04:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;19998.7;2023-01-07T05:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;20490.475;2023-01-07T06:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;21911.3;2023-01-07T07:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;23167.325;2023-01-07T08:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;24891;2023-01-07T09:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26363.05;2023-01-07T10:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;27342.4;2023-01-07T11:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28078.275;2023-01-07T12:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28979.1;2023-01-07T13:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29241.2;2023-01-07T14:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28502.6;2023-01-07T15:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28018.4;2023-01-07T16:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;27225.55;2023-01-07T17:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29410.425;2023-01-07T18:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29293.85;2023-01-07T19:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30386.19999999999;2023-01-07T20:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29779.1;2023-01-07T21:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28426.7;2023-01-07T22:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26514.30000000001;2023-01-07T23:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;25698.80000000001;2023-01-08T00:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;23260.30000000001;2023-01-08T01:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;22010.767;2023-01-08T02:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;21325.9;2023-01-08T03:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;20837.8;2023-01-08T04:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;20800.8;2023-01-08T05:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;21205.55;2023-01-08T06:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;21601.49999999999;2023-01-08T07:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;22154.8;2023-01-08T08:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;22863.55;2023-01-08T09:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;25239.4;2023-01-08T10:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26641.90000000001;2023-01-08T11:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;27920.825;2023-01-08T12:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29261.625;2023-01-08T13:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29239.39300000001;2023-01-08T14:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28045.742;2023-01-08T15:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26578.575;2023-01-08T16:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26572.7;2023-01-08T17:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28437.2;2023-01-08T18:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;29848.6;2023-01-08T19:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30723.8;2023-01-08T20:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;30586.2;2023-01-08T21:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28702;2023-01-08T22:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;26523.8;2023-01-08T23:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;24486.25;2023-01-09T00:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;23266.70000000001;2023-01-09T01:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;21964.1;2023-01-09T02:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;21691.567;2023-01-09T03:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;21670;2023-01-09T04:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;22216;2023-01-09T05:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;24621.6;2023-01-09T06:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;28939.9;2023-01-09T07:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;31163.6;2023-01-09T08:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;32437.45;2023-01-09T09:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;33678.5;2023-01-09T10:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;33230.15;2023-01-09T11:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;33573.60000000001;2023-01-09T12:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;33818.20000000001;2023-01-09T13:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;33178.25000000001;2023-01-09T14:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;32891.50000000001;2023-01-09T15:00:00+01:00
10024;Operating Hourly Program Generation + storage + Balearic HVDC Link P48;;;32695.4;2023-01-09T16:00:00+01:00
