Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
01/07/2024 09:00:00 - 01/07/2024 10:00:00;346.00;n/e;n/e;n/e;522.00;0.00;123.00;n/e;n/e;n/e;979.00;5686.00;2086.00;n/e;38109.00;n/e;n/e;4990.00;197.00;207.00;1555.00
01/07/2024 10:00:00 - 01/07/2024 11:00:00;347.00;n/e;n/e;n/e;528.00;0.00;123.00;n/e;n/e;n/e;789.00;5492.00;2027.00;n/e;38055.00;n/e;n/e;7043.00;188.00;204.00;1861.00
01/07/2024 11:00:00 - 01/07/2024 12:00:00;345.00;n/e;n/e;n/e;549.00;0.00;123.00;n/e;n/e;n/e;383.00;5360.00;1950.00;n/e;37851.00;n/e;n/e;8209.00;191.00;179.00;2150.00
01/07/2024 12:00:00 - 01/07/2024 13:00:00;347.00;n/e;n/e;n/e;521.00;0.00;123.00;n/e;n/e;n/e;377.00;5381.00;2046.00;n/e;37727.00;n/e;n/e;9251.00;193.00;166.00;2393.00
01/07/2024 13:00:00 - 01/07/2024 14:00:00;347.00;n/e;n/e;n/e;529.00;0.00;123.00;n/e;n/e;n/e;;5424.00;1915.00;n/e;37800.00;n/e;n/e;9641.00;193.00;131.00;2720.00
01/07/2024 14:00:00 - 01/07/2024 15:00:00;347.00;n/e;n/e;n/e;466.00;0.00;123.00;n/e;n/e;n/e;;5290.00;1676.00;n/e;37141.00;n/e;n/e;9831.00;191.00;220.00;3214.00
01/07/2024 15:00:00 - 01/07/2024 16:00:00;345.00;n/e;n/e;n/e;441.00;0.00;123.00;n/e;n/e;n/e;;5247.00;1612.00;n/e;36565.00;n/e;n/e;9376.00;188.00;292.00;3537.00
01/07/2024 16:00:00 - 01/07/2024 17:00:00;349.00;n/e;n/e;n/e;437.00;0.00;123.00;n/e;n/e;n/e;;5451.00;1639.00;n/e;36536.00;n/e;n/e;8794.00;185.00;347.00;3807.00
01/07/2024 17:00:00 - 01/07/2024 18:00:00;350.00;n/e;n/e;n/e;519.00;0.00;123.00;n/e;n/e;n/e;;5547.00;1839.00;n/e;36046.00;n/e;n/e;7551.00;189.00;408.00;4150.00
01/07/2024 18:00:00 - 01/07/2024 19:00:00;348.00;n/e;n/e;n/e;515.00;0.00;123.00;n/e;n/e;n/e;;5716.00;2156.00;n/e;37213.00;n/e;n/e;5566.00;191.00;492.00;4140.00
01/07/2024 19:00:00 - 01/07/2024 20:00:00;347.00;n/e;n/e;n/e;514.00;0.00;123.00;n/e;n/e;n/e;747.00;5894.00;2187.00;n/e;38339.00;n/e;n/e;2953.00;198.00;524.00;4121.00
01/07/2024 20:00:00 - 01/07/2024 21:00:00;345.00;n/e;n/e;n/e;491.00;0.00;123.00;n/e;n/e;n/e;1441.00;6111.00;2153.00;n/e;38648.00;n/e;n/e;1109.00;192.00;603.00;3867.00
01/07/2024 21:00:00 - 01/07/2024 22:00:00;344.00;n/e;n/e;n/e;498.00;0.00;123.00;n/e;n/e;n/e;1620.00;6217.00;2033.00;n/e;39117.00;n/e;n/e;403.00;189.00;611.00;3452.00
01/07/2024 22:00:00 - 01/07/2024 23:00:00;345.00;n/e;n/e;n/e;567.00;0.00;123.00;n/e;n/e;n/e;1558.00;6240.00;2157.00;n/e;39029.00;n/e;n/e;283.00;190.00;752.00;3303.00
01/07/2024 23:00:00 - 02/07/2024 00:00:00;345.00;n/e;n/e;n/e;548.00;0.00;123.00;n/e;n/e;n/e;1462.00;6137.00;2249.00;n/e;39216.00;n/e;n/e;0.00;204.00;766.00;3278.00
02/07/2024 00:00:00 - 02/07/2024 01:00:00;345.00;n/e;n/e;n/e;539.00;0.00;123.00;n/e;n/e;n/e;1500.00;5875.00;2418.00;n/e;39153.00;n/e;n/e;0.00;203.00;875.00;3061.00
02/07/2024 01:00:00 - 02/07/2024 02:00:00;346.00;n/e;n/e;n/e;539.00;0.00;123.00;n/e;n/e;n/e;1284.00;5770.00;1868.00;n/e;39075.00;n/e;n/e;0.00;208.00;767.00;2836.00
02/07/2024 02:00:00 - 02/07/2024 03:00:00;346.00;n/e;n/e;n/e;514.00;0.00;123.00;n/e;n/e;n/e;370.00;5695.00;1722.00;n/e;39124.00;n/e;n/e;0.00;211.00;686.00;2667.00
02/07/2024 03:00:00 - 02/07/2024 04:00:00;346.00;n/e;n/e;n/e;530.00;0.00;123.00;n/e;n/e;n/e;;5601.00;1675.00;n/e;39276.00;n/e;n/e;0.00;213.00;485.00;2599.00
02/07/2024 04:00:00 - 02/07/2024 05:00:00;346.00;n/e;n/e;n/e;545.00;0.00;123.00;n/e;n/e;n/e;;5611.00;1650.00;n/e;39442.00;n/e;n/e;0.00;209.00;385.00;2573.00
02/07/2024 05:00:00 - 02/07/2024 06:00:00;347.00;n/e;n/e;n/e;549.00;0.00;123.00;n/e;n/e;n/e;400.00;5742.00;1562.00;n/e;39268.00;n/e;n/e;274.00;209.00;358.00;2597.00
02/07/2024 06:00:00 - 02/07/2024 07:00:00;347.00;n/e;n/e;n/e;536.00;0.00;123.00;n/e;n/e;n/e;755.00;5777.00;1737.00;n/e;39362.00;n/e;n/e;462.00;203.00;281.00;2415.00
02/07/2024 07:00:00 - 02/07/2024 08:00:00;346.00;n/e;n/e;n/e;670.00;0.00;164.00;n/e;n/e;n/e;1437.00;5920.00;2207.00;n/e;39597.00;n/e;n/e;1201.00;198.00;200.00;2264.00
02/07/2024 08:00:00 - 02/07/2024 09:00:00;348.00;n/e;n/e;n/e;767.00;0.00;240.00;n/e;n/e;n/e;1208.00;5801.00;2095.00;n/e;39626.00;n/e;n/e;2620.00;197.00;183.00;2209.00
02/07/2024 09:00:00 - 02/07/2024 10:00:00;345.00;n/e;n/e;n/e;590.00;0.00;129.00;n/e;n/e;n/e;976.00;5660.00;2000.00;n/e;39125.00;n/e;n/e;4391.00;192.00;195.00;2261.00
02/07/2024 10:00:00 - 02/07/2024 11:00:00;345.00;n/e;n/e;n/e;562.00;0.00;593.00;n/e;n/e;n/e;842.00;5608.00;1924.00;n/e;38902.00;n/e;n/e;6091.00;191.00;303.00;2409.00
02/07/2024 11:00:00 - 02/07/2024 12:00:00;346.00;n/e;n/e;n/e;561.00;0.00;664.00;n/e;n/e;n/e;358.00;5416.00;1858.00;n/e;38816.00;n/e;n/e;6970.00;194.00;345.00;2615.00
02/07/2024 12:00:00 - 02/07/2024 13:00:00;347.00;n/e;n/e;n/e;578.00;0.00;669.00;n/e;n/e;n/e;300.00;5514.00;1851.00;n/e;38302.00;n/e;n/e;7739.00;194.00;254.00;2731.00
02/07/2024 13:00:00 - 02/07/2024 14:00:00;350.00;n/e;n/e;n/e;533.00;0.00;421.00;n/e;n/e;n/e;461.00;5417.00;1868.00;n/e;38355.00;n/e;n/e;8507.00;199.00;240.00;3006.00
02/07/2024 14:00:00 - 02/07/2024 15:00:00;346.00;n/e;n/e;n/e;488.00;0.00;124.00;n/e;n/e;n/e;;5334.00;1855.00;n/e;37180.00;n/e;n/e;8428.00;202.00;247.00;3507.00
02/07/2024 15:00:00 - 02/07/2024 16:00:00;348.00;n/e;n/e;n/e;526.00;0.00;123.00;n/e;n/e;n/e;;5269.00;1668.00;n/e;35735.00;n/e;n/e;7708.00;202.00;331.00;3892.00
02/07/2024 16:00:00 - 02/07/2024 17:00:00;351.00;n/e;n/e;n/e;521.00;0.00;123.00;n/e;n/e;n/e;;5362.00;1732.00;n/e;34911.00;n/e;n/e;6991.00;202.00;397.00;4441.00
02/07/2024 17:00:00 - 02/07/2024 18:00:00;352.00;n/e;n/e;n/e;519.00;0.00;123.00;n/e;n/e;n/e;;5413.00;1797.00;n/e;35385.00;n/e;n/e;6115.00;204.00;390.00;4612.00
02/07/2024 18:00:00 - 02/07/2024 19:00:00;353.00;n/e;n/e;n/e;550.00;0.00;123.00;n/e;n/e;n/e;843.00;5517.00;2013.00;n/e;36907.00;n/e;n/e;4480.00;205.00;259.00;4113.00
02/07/2024 19:00:00 - 02/07/2024 20:00:00;353.00;n/e;n/e;n/e;565.00;0.00;122.00;n/e;n/e;n/e;1328.00;5824.00;2193.00;n/e;38936.00;n/e;n/e;2483.00;206.00;329.00;3715.00
02/07/2024 20:00:00 - 02/07/2024 21:00:00;354.00;n/e;n/e;n/e;651.00;0.00;123.00;n/e;n/e;n/e;996.00;6018.00;2373.00;n/e;39157.00;n/e;n/e;1006.00;208.00;305.00;3377.00
02/07/2024 21:00:00 - 02/07/2024 22:00:00;353.00;n/e;n/e;n/e;818.00;0.00;122.00;n/e;n/e;n/e;917.00;6187.00;2537.00;n/e;39516.00;n/e;n/e;364.00;210.00;219.00;2996.00
02/07/2024 22:00:00 - 02/07/2024 23:00:00;353.00;n/e;n/e;n/e;739.00;0.00;123.00;n/e;n/e;n/e;1428.00;6218.00;2498.00;n/e;39581.00;n/e;n/e;269.00;209.00;165.00;2613.00
02/07/2024 23:00:00 - 03/07/2024 00:00:00;355.00;n/e;n/e;n/e;760.00;0.00;123.00;n/e;n/e;n/e;999.00;6044.00;2421.00;n/e;39418.00;n/e;n/e;0.00;209.00;106.00;2479.00
03/07/2024 00:00:00 - 03/07/2024 01:00:00;355.00;n/e;n/e;n/e;685.00;0.00;122.00;n/e;n/e;n/e;1232.00;5898.00;2301.00;n/e;38820.00;n/e;n/e;0.00;206.00;64.00;2369.00
