Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
29/08/2024 23:00:00 - 30/08/2024 00:00:00;562.00;n/e;n/e;587.00;17813.00;409.00;184.00;n/e;n/e;566.00;532.00;3755.00;606.00;n/e;n/e;2215.00;n/e;0.00;320.00;3.00;1146.00
30/08/2024 00:00:00 - 30/08/2024 01:00:00;544.00;n/e;n/e;579.00;16608.00;410.00;195.00;n/e;n/e;566.00;191.00;3209.00;508.00;n/e;n/e;1969.00;n/e;0.00;308.00;2.00;1362.00
30/08/2024 01:00:00 - 30/08/2024 02:00:00;557.00;n/e;n/e;577.00;15045.00;410.00;195.00;n/e;n/e;566.00;95.00;2848.00;488.00;n/e;n/e;1933.00;n/e;0.00;306.00;3.00;1549.00
30/08/2024 02:00:00 - 30/08/2024 03:00:00;559.00;n/e;n/e;577.00;14182.00;382.00;196.00;n/e;n/e;566.00;1.00;2518.00;468.00;n/e;n/e;1919.00;n/e;0.00;308.00;3.00;1792.00
30/08/2024 03:00:00 - 30/08/2024 04:00:00;563.00;n/e;n/e;584.00;13657.00;374.00;206.00;n/e;n/e;566.00;95.00;2354.00;393.00;n/e;n/e;1907.00;n/e;0.00;310.00;3.00;1889.00
30/08/2024 04:00:00 - 30/08/2024 05:00:00;564.00;n/e;n/e;581.00;13783.00;349.00;240.00;n/e;n/e;566.00;1.00;2331.00;453.00;n/e;n/e;1913.00;n/e;0.00;307.00;3.00;1745.00
30/08/2024 05:00:00 - 30/08/2024 06:00:00;561.00;n/e;n/e;579.00;15330.00;350.00;244.00;n/e;n/e;567.00;0.00;2660.00;487.00;n/e;n/e;1933.00;n/e;0.00;310.00;4.00;1623.00
30/08/2024 06:00:00 - 30/08/2024 07:00:00;565.00;n/e;n/e;589.00;17976.00;378.00;233.00;n/e;n/e;567.00;258.00;3645.00;725.00;n/e;n/e;2079.00;n/e;71.00;312.00;3.00;1500.00
30/08/2024 07:00:00 - 30/08/2024 08:00:00;559.00;n/e;n/e;579.00;17917.00;376.00;240.00;n/e;n/e;566.00;425.00;4477.00;858.00;n/e;n/e;2118.00;n/e;1647.00;312.00;3.00;1564.00
30/08/2024 08:00:00 - 30/08/2024 09:00:00;547.00;n/e;n/e;579.00;17621.00;322.00;244.00;n/e;n/e;565.00;216.00;4238.00;720.00;n/e;n/e;2140.00;n/e;5540.00;310.00;3.00;1674.00
30/08/2024 09:00:00 - 30/08/2024 10:00:00;546.00;n/e;n/e;579.00;16214.00;309.00;244.00;n/e;n/e;564.00;106.00;3244.00;545.00;n/e;n/e;2188.00;n/e;9341.00;305.00;6.00;1704.00
30/08/2024 10:00:00 - 30/08/2024 11:00:00;543.00;n/e;n/e;553.00;15031.00;324.00;243.00;n/e;n/e;563.00;16.00;2676.00;371.00;n/e;n/e;2175.00;n/e;12030.00;301.00;10.00;1761.00
