Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
08/02/2024 18:00:00 - 08/02/2024 19:00:00;384.20;n/e;n/e;n/e;192.20;0.00;n/e;n/e;n/e;n/e;758.20;1447.50;773.00;n/e;n/e;31.00;n/e;4.30;n/e;25.00;4821.90
08/02/2024 19:00:00 - 08/02/2024 20:00:00;389.40;n/e;n/e;n/e;188.80;0.00;n/e;n/e;n/e;n/e;1089.40;1957.30;689.50;n/e;n/e;31.40;n/e;0.10;n/e;25.00;4735.20
08/02/2024 20:00:00 - 08/02/2024 21:00:00;382.60;n/e;n/e;n/e;184.30;0.00;n/e;n/e;n/e;n/e;1415.30;1690.90;740.20;n/e;n/e;31.10;n/e;0.10;n/e;24.40;4382.30
08/02/2024 21:00:00 - 08/02/2024 22:00:00;381.60;n/e;n/e;n/e;184.10;0.00;n/e;n/e;n/e;n/e;1117.40;1410.90;747.10;n/e;n/e;31.40;n/e;0.10;n/e;20.30;4024.20
08/02/2024 22:00:00 - 08/02/2024 23:00:00;380.00;n/e;n/e;n/e;182.50;0.00;n/e;n/e;n/e;n/e;698.10;1298.80;755.10;n/e;n/e;32.60;n/e;0.10;n/e;18.80;3424.90
08/02/2024 23:00:00 - 09/02/2024 00:00:00;381.50;n/e;n/e;n/e;181.10;0.00;n/e;n/e;n/e;n/e;390.80;991.00;630.20;n/e;n/e;31.90;n/e;0.10;n/e;13.00;3075.20
09/02/2024 00:00:00 - 09/02/2024 01:00:00;373.00;n/e;n/e;n/e;257.40;0.00;n/e;n/e;n/e;n/e;484.60;812.50;535.20;n/e;n/e;32.00;n/e;0.10;n/e;13.80;2925.90
09/02/2024 01:00:00 - 09/02/2024 02:00:00;379.60;n/e;n/e;n/e;291.50;0.00;n/e;n/e;n/e;n/e;132.10;567.20;459.40;n/e;n/e;31.90;n/e;0.10;n/e;12.80;3038.80
09/02/2024 02:00:00 - 09/02/2024 03:00:00;381.30;n/e;n/e;n/e;402.30;0.00;n/e;n/e;n/e;n/e;1.90;318.30;306.70;n/e;n/e;31.10;n/e;0.10;n/e;12.00;2859.20
09/02/2024 03:00:00 - 09/02/2024 04:00:00;385.00;n/e;n/e;n/e;347.70;0.00;n/e;n/e;n/e;n/e;0.00;314.20;296.20;n/e;n/e;30.50;n/e;0.00;n/e;15.30;3012.40
09/02/2024 04:00:00 - 09/02/2024 05:00:00;388.00;n/e;n/e;n/e;418.50;0.00;n/e;n/e;n/e;n/e;0.00;307.90;293.70;n/e;n/e;29.90;n/e;0.00;n/e;18.60;3079.00
09/02/2024 05:00:00 - 09/02/2024 06:00:00;382.80;n/e;n/e;n/e;405.40;0.00;n/e;n/e;n/e;n/e;1.90;312.70;365.30;n/e;n/e;27.70;n/e;0.10;n/e;23.20;2934.10
09/02/2024 06:00:00 - 09/02/2024 07:00:00;385.50;n/e;n/e;n/e;463.70;0.00;n/e;n/e;n/e;n/e;247.00;764.40;473.50;n/e;n/e;28.80;n/e;0.10;n/e;24.70;2788.10
09/02/2024 07:00:00 - 09/02/2024 08:00:00;386.70;n/e;n/e;n/e;406.60;0.00;n/e;n/e;n/e;n/e;1406.00;1320.10;902.70;n/e;n/e;30.00;n/e;0.10;n/e;24.70;2762.00
09/02/2024 08:00:00 - 09/02/2024 09:00:00;382.20;n/e;n/e;n/e;559.10;0.00;n/e;n/e;n/e;n/e;1612.90;1887.30;1029.80;n/e;n/e;29.90;n/e;2.30;n/e;24.80;2426.90
09/02/2024 09:00:00 - 09/02/2024 10:00:00;382.70;n/e;n/e;n/e;747.00;0.00;n/e;n/e;n/e;n/e;1672.20;2025.60;1064.60;n/e;n/e;29.00;n/e;64.90;n/e;24.70;2525.80
09/02/2024 10:00:00 - 09/02/2024 11:00:00;381.80;n/e;n/e;n/e;854.80;0.00;n/e;n/e;n/e;n/e;2205.40;1874.80;1182.30;n/e;n/e;28.20;n/e;169.00;n/e;19.40;2877.20
09/02/2024 11:00:00 - 09/02/2024 12:00:00;373.00;n/e;n/e;n/e;785.70;0.00;n/e;n/e;n/e;n/e;1961.50;1839.10;1047.70;n/e;n/e;27.80;n/e;346.70;n/e;24.20;3368.30
09/02/2024 12:00:00 - 09/02/2024 13:00:00;373.20;n/e;n/e;n/e;837.70;0.00;n/e;n/e;n/e;n/e;1743.90;1711.40;970.20;n/e;n/e;27.80;n/e;536.80;n/e;17.20;3420.30
09/02/2024 13:00:00 - 09/02/2024 14:00:00;374.50;n/e;n/e;n/e;740.00;0.00;n/e;n/e;n/e;n/e;1259.90;1452.90;933.80;n/e;n/e;26.60;n/e;619.30;n/e;16.40;4192.90
09/02/2024 14:00:00 - 09/02/2024 15:00:00;378.10;n/e;n/e;n/e;663.60;0.00;n/e;n/e;n/e;n/e;690.20;1394.50;608.40;n/e;n/e;27.40;n/e;899.90;n/e;19.70;4394.40
09/02/2024 15:00:00 - 09/02/2024 16:00:00;383.10;n/e;n/e;n/e;718.30;0.00;n/e;n/e;n/e;n/e;1192.50;1425.30;622.10;n/e;n/e;27.80;n/e;922.90;n/e;13.50;4643.60
09/02/2024 16:00:00 - 09/02/2024 17:00:00;384.70;n/e;n/e;n/e;631.70;0.00;n/e;n/e;n/e;n/e;1104.40;1553.10;514.50;n/e;n/e;28.20;n/e;802.90;n/e;22.80;4556.60
